rank,name,confed,off,def,spi
194,Bangladesh,AFC,0.2,2.76,4.64
195,San Marino,UEFA,0.3,3.1,4.5
196,British Virgin Islands,CONCACAF,0.46,3.53,4.43
197,Cambodia,AFC,0.28,3.43,3.27
198,Bonaire,CONCACAF,0.33,3.72,2.92
199,Anguilla,CONCACAF,0.4,4.0,2.76
200,Guadeloupe,CONCACAF,0.21,3.47,2.6
201,Turks and Caicos Islands,CONCACAF,0.65,4.75,2.58
202,Brunei,AFC,0.25,3.86,2.05
203,Bhutan,AFC,0.27,4.03,1.94
204,US Virgin Islands,CONCACAF,0.36,4.58,1.55
205,Sri Lanka,AFC,0.22,4.1,1.53
206,Laos,AFC,0.27,4.31,1.5
207,St. Martin,CONCACAF,0.2,4.44,1.09
208,Timor-Leste,AFC,0.25,4.8,0.95
209,Guam,AFC,0.29,5.04,0.88
210,Sint Maarten,CONCACAF,0.2,4.73,0.85
211,Tuvalu,OFC,0.38,5.62,0.7
212,Macau,AFC,0.2,5.75,0.34
213,Samoa,OFC,0.2,5.78,0.34
214,Tonga,OFC,0.2,6.08,0.26
